Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
122290078,"2026-02-12 16:24:38",buy,1,AUDJPY,109.24000000,108.626,0,"2026-02-12 18:09:58",108.62200000,0,-5,-405.22000000,-61.8,6320
121957849,"2026-02-11 20:54:35",buy,3,USOIL.cash,64.75400000,63.645,0.00000000,"2026-02-12 17:40:00",63.57200000,0.1,0,-354.60000000,-1.2,74725
121786870,"2026-02-11 13:23:24",buy,3,USOIL.cash,64.95800000,63.64,0,"2026-02-12 17:40:00",63.57200000,0.1,0,-415.80000000,-1.4,101796
121997903,"2026-02-11 18:18:56",buy,0.05,XAGUSD,82.83000000,82.823,86.71300000,"2026-02-12 01:59:58",82.78800000,-14.84,-0.28,-10.50000000,0,27662
121964506,"2026-02-11 17:25:29",buy,0.1,XAUUSD,5053.36000000,5053.76,5203.94000000,"2026-02-12 01:11:47",5052.29000000,-27.54,-0.7,-10.70000000,-1.1,27978
121804565,"2026-02-11 15:30:17",buy,0.1,XAGUSD,84.16500000,83.201,0.00000000,"2026-02-11 16:39:53",83.77600000,0,-0.58,-194.50000000,-0.4,4176
121736513115055780,"2026-02-11 11:35:09",buy,0.1,XAUUSD,5058.26000000,5045.38,5238.26000000,"2026-02-11 15:30:28",5041.70000000,0,-0.705,-165.60000000,-16.6,14119
121827222,"2026-02-11 14:43:42",buy,0.1,XAUUSD,5063.33000000,5045.42,0,"2026-02-11 15:30:28",5041.70000000,0,-0.7,-216.30000000,-21.6,2806
121775832,"2026-02-11 14:41:10",buy,0.1,XAUUSD,5072.54000000,5045.22,0.00000000,"2026-02-11 15:30:28",5041.70000000,0,-0.71,-308.40000000,-30.8,2958
121819118,"2026-02-11 14:41:10",buy,0.1,XAUUSD,5072.54000000,5045.28,0.00000000,"2026-02-11 15:30:28",5041.70000000,0,-0.71,-308.40000000,-30.8,2958
121812611,"2026-02-11 14:21:58",buy,0.1,XAUUSD,5092.60000000,5081.44,0,"2026-02-11 14:35:59",5080.76000000,0,-0.72,-118.40000000,-11.8,841
121811333,"2026-02-11 14:20:13",buy,0.1,XAUUSD,5094.38000000,5081.58,0,"2026-02-11 14:35:59",5080.76000000,0,-0.72,-136.20000000,-13.6,946
121736513,"2026-02-11 11:35:09",buy,0.1,XAUUSD,5058.26000000,5045.38,5238.26000000,"2026-02-11 14:01:57",5110.31000000,0,-0.715,520.50000000,52.1,8808
121414677,"2026-02-10 16:38:04",buy,2,AUDUSD,0.70810000,0.70628,0.00000000,"2026-02-10 19:46:14",0.70739000,0,-10,-142.00000000,-7.1,11290
121417187,"2026-02-10 16:37:55",buy,2,AUDUSD,0.70816000,0.70628,0,"2026-02-10 19:46:10",0.70742000,0,-10,-148.00000000,-7.4,11295
121354022,"2026-02-10 15:02:30",buy,2,USDCAD,1.35728000,1.35469,0,"2026-02-10 16:00:02",1.35467000,0,-10,-385.33000000,-26.1,3452
121290003,"2026-02-10 12:24:42",sell,3,AUDCHF,0.54168000,0.54281,0.53973000,"2026-02-10 15:15:17",0.54228000,0,-15,-234.68000000,-6,10235
121267309,"2026-02-10 11:21:25",sell,3,NZDCHF,0.46303000,0.46358,0.46113000,"2026-02-10 15:12:53",0.46360000,0,-15,-222.85000000,-5.7,13888
120887677,"2026-02-09 14:45:29",buy,1,NZDUSD,0.60298000,0.59955,0,"2026-02-10 12:31:01",0.60400000,-4.93,-5,102.00000000,10.2,78332
